EncoderAtt,DecoderAtt,B,H,lr,Optimizer,Epoch,UnseenCnt,MissedClass,WrongCount,UnseenClass
true,false,1,256,0.01,SGD,20,2,7,86,2
false,false,4,128,0.01,SGD,30,2,7,86,2
false,false,1,256,0.01,SGD,20,2,7,87,2
true,false,4,256,0.01,SGD,20,2,7,89,2
true,false,16,128,0.01,SGD,10,4,7,89,2
true,false,16,128,0.01,SGD,20,3,7,89,2
true,false,8,128,0.01,SGD,30,2,7,90,2
true,false,1,256,0.01,SGD,10,2,7,92,2
true,false,8,128,0.001,SGD,10,2,7,93,2
false,false,2,128,0.001,SGD,10,2,7,94,2
false,false,1,256,0.001,SGD,30,2,7,95,2
true,false,8,128,0.001,SGD,20,2,7,95,2
true,false,4,256,0.001,SGD,10,3,7,96,2
false,false,4,256,0.001,SGD,20,2,7,96,2
true,false,8,256,0.001,SGD,20,2,7,96,2
false,false,8,256,0.001,SGD,30,2,7,96,2
true,false,8,256,0.001,SGD,30,2,7,96,2
true,false,4,256,0.01,SGD,10,2,7,96,2
true,false,4,128,0.001,SGD,20,2,7,96,2
true,true,1,256,0.001,Adam,30,5,8,0,1
true,true,2,256,0.001,Adam,30,66,8,0,1
true,true,8,256,0.001,Adam,30,81,8,0,1
true,true,16,256,0.001,Adam,30,42,8,0,1
false,true,1,256,0.01,Adam,10,1,8,0,1
true,true,1,256,0.01,Adam,20,1,8,0,1
false,true,2,256,0.01,Adam,30,1,8,0,1
false,true,4,256,0.01,Adam,10,2,8,0,1
true,true,4,256,0.01,Adam,20,12,8,0,1
false,true,16,256,0.01,Adam,10,18,8,0,1
false,true,16,256,0.01,Adam,30,7,8,0,1
true,false,1,256,0.1,Adam,20,4,8,0,1
false,false,2,256,0.1,Adam,10,100,8,0,1
true,true,8,256,0.1,Adam,30,1,8,0,1
false,false,16,256,0.1,Adam,10,100,8,0,1
false,true,16,256,0.001,Rmsprop,10,100,8,0,1
false,true,1,256,0.01,Rmsprop,20,100,8,0,1
true,true,1,256,0.01,Rmsprop,30,100,8,0,1
false,true,2,256,0.01,Rmsprop,20,100,8,0,1
true,true,8,256,0.01,Rmsprop,30,100,8,0,1
false,true,2,256,0.1,Rmsprop,10,100,8,0,1
false,false,2,256,0.1,Rmsprop,20,51,8,0,1
false,false,8,256,0.1,Rmsprop,10,13,8,0,1
true,true,8,256,0.1,Rmsprop,10,100,8,0,1
false,true,8,256,0.1,Rmsprop,20,100,8,0,1
false,false,16,256,0.1,Rmsprop,30,1,8,0,1
true,true,1,256,1.0,Rmsprop,20,24,8,0,1
false,true,1,256,0.001,SGD,10,100,8,0,1
true,true,1,256,0.001,SGD,10,100,8,0,1
false,true,2,256,0.001,SGD,30,100,8,0,1
true,true,2,256,0.001,SGD,30,100,8,0,1
false,true,4,256,0.001,SGD,10,100,8,0,1
false,true,1,256,0.01,SGD,10,100,8,0,1
true,true,1,256,0.01,SGD,10,100,8,0,1
false,true,2,256,0.01,SGD,10,100,8,0,1
true,true,2,256,0.01,SGD,10,100,8,0,1
false,true,4,256,0.01,SGD,10,100,8,0,1
true,true,4,256,0.01,SGD,10,100,8,0,1
true,true,4,256,0.01,SGD,30,100,8,0,1
true,true,8,256,0.01,SGD,30,100,8,0,1
true,true,2,256,0.1,SGD,20,100,8,0,1
false,true,8,256,1.0,SGD,20,100,8,0,1
false,true,16,256,1.0,SGD,10,100,8,0,1
true,true,16,256,1.0,SGD,20,100,8,0,1
false,true,2,128,0.001,Adam,10,100,8,0,1
false,true,4,128,0.001,Adam,30,52,8,0,1
true,true,8,128,0.001,Adam,30,14,8,0,1
true,true,16,128,0.001,Adam,30,6,8,0,1
false,true,1,128,0.01,Adam,10,9,8,0,1
true,true,1,128,0.01,Adam,10,5,8,0,1
